creator,package,archived,forks,stars,creationdate,lastcommit,secondlastcommit,thirdlastcommit
lpil,aws4_request,FALSE,6,7,2023-11-12,2025-02-08,2025-02-08,2025-02-06
Cyteon,discord_gleam,FALSE,14,46,2024-07-15,2025-11-29,2025-11-29,2025-11-29
lpil,glatus,FALSE,0,2,2023-11-10,2024-12-22,2024-12-22,2023-11-10
gleam-lang,hexpm,FALSE,0,3,2023-05-01,2025-04-05,2025-04-03,2025-04-03
bunopnu,glevatar,FALSE,0,7,2023-10-20,2024-04-13,2024-04-13,2023-11-01
stevetoro,tallgrass,FALSE,0,4,2024-08-25,2024-10-04,2024-10-04,2024-10-02
bondiano,telega-gleam,FALSE,6,43,2024-03-22,2025-10-21,2025-10-21,2025-10-21
schurhammer,gleamy_bench,FALSE,3,17,2023-11-01,2025-02-17,2025-02-17,2025-02-17
inoas,glychee,FALSE,0,22,2022-10-20,2024-06-06,2024-05-01,2024-05-01
Enderchief,esgleam,FALSE,6,33,2023-12-29,2025-11-22,2025-02-21,2025-02-21
lpil,gleescript,FALSE,4,108,2023-12-21,2025-08-30,2025-08-30,2025-05-16
lpil,argv,FALSE,5,33,2023-12-22,2024-03-22,2023-12-26,2023-12-26
drewolson,clip,FALSE,4,42,2024-09-10,2025-11-23,2025-11-10,2025-11-10
gleam-community,ansi,FALSE,2,34,2022-12-15,2025-03-09,2025-03-09,2025-03-09
TanklesXL,glint,FALSE,11,75,2022-01-12,2025-04-14,2025-04-07,2025-04-01
miampf,glitzer,FALSE,2,14,2024-06-04,2025-07-27,2025-07-27,2025-07-27
tynanbe,rad,FALSE,3,69,2022-05-02,2024-06-14,2024-06-13,2024-06-12
tynanbe,shellout,FALSE,2,70,2021-01-25,2025-03-22,2025-03-22,2025-02-15
lpil,spinner,FALSE,3,28,2024-01-07,2025-01-08,2025-01-08,2025-01-08
olian04,gleam-stdin,FALSE,2,23,2024-06-03,2025-05-26,2025-05-26,2025-05-26
aosasona,dotenv,FALSE,6,36,2023-10-28,2025-09-09,2025-09-09,2024-12-10
Grubba27,dotenv_gleam,FALSE,3,13,2023-10-25,2025-10-13,2025-10-13,2025-10-13
lpil,envoy,FALSE,2,40,2023-12-22,2025-11-18,2025-11-18,2025-11-18
custompro98,glenv,FALSE,0,2,2024-07-02,2025-04-25,2025-04-25,2024-07-03
maxdeviant,glenvy,FALSE,3,21,2023-05-29,2025-07-30,2025-07-30,2025-07-26
Pevensie,argus,FALSE,4,20,2024-07-14,2025-06-18,2025-06-18,2025-05-14
lpil,beecrypt,FALSE,0,9,2023-05-11,2025-05-14,2025-05-14,2025-05-12
gleam-lang,crypto,FALSE,17,44,2020-06-08,2025-09-24,2025-07-01,2025-07-01
rvcas,ids,FALSE,10,57,2020-10-26,2025-01-26,2025-01-26,2025-01-26
mdarse,kmh,FALSE,0,0,2024-09-08,2024-09-08,2024-09-08,2024-09-08
lpil,youid,FALSE,4,22,2024-02-15,2025-07-02,2025-07-02,2025-07-02
MystPi,act,FALSE,2,27,2024-03-24,2025-12-01,2025-11-25,2024-06-06
tynanbe,argamak,FALSE,1,35,2022-01-21,2024-02-18,2024-02-17,2023-12-22
bwireman,delay,FALSE,0,9,2021-08-18,2025-02-08,2024-12-15,2024-12-04
gleam-lang,stdlib,FALSE,215,634,2019-10-27,2025-12-11,2025-12-08,2025-12-08
mrdimosthenis,gleam_zlists,FALSE,0,3,2021-02-24,2024-09-26,2022-05-17,2022-05-17
schurhammer,gleamy_structures,FALSE,4,29,2023-05-25,2025-08-25,2025-07-21,2025-07-20
fschwalbe,glearray,FALSE,3,9,2023-12-11,2025-04-11,2025-04-11,2025-04-11
bwireman,gleither,FALSE,3,2,2024-03-23,2025-12-14,2025-12-14,2025-12-14
giacomocavalieri,non_empty_list,FALSE,3,10,2023-05-26,2025-11-17,2025-11-17,2025-11-17
giacomocavalieri,tote,FALSE,1,9,2023-10-22,2024-10-31,2024-10-31,2024-02-10
giacomocavalieri,trie_again,FALSE,0,13,2023-06-14,2025-09-09,2025-07-04,2025-07-04
inoas,gleam-cake,FALSE,3,118,2024-04-23,2025-10-31,2025-08-29,2025-07-28
aosasona,migrant,FALSE,6,17,2023-10-21,2025-11-30,2025-05-07,2025-05-07
massivefermion,mungo,FALSE,5,24,2023-10-05,2024-12-20,2024-12-20,2024-12-04
daniellionel01,parrot,FALSE,8,187,2024-12-14,2025-10-21,2025-10-21,2025-10-20
lpil,pog,FALSE,27,223,2019-11-17,2025-10-25,2025-07-14,2025-07-14
massivefermion,radish,FALSE,9,43,2023-11-04,2025-01-25,2025-01-25,2025-01-25
lpil,sqlight,FALSE,22,135,2022-12-28,2025-11-29,2025-11-29,2025-10-21
giacomocavalieri,squirrel,FALSE,30,534,2024-08-03,2025-12-11,2025-11-15,2025-11-15
lpil,storail,FALSE,2,29,2024-10-19,2025-11-23,2025-09-01,2025-09-01
Pevensie,valkyrie,FALSE,1,34,2025-06-19,2025-08-15,2025-08-15,2025-06-29
gideongrinberg,gcourier,FALSE,2,15,2025-05-08,2025-10-07,2025-09-25,2025-09-25
lpil,gleam_sendgrid,FALSE,1,15,2022-02-09,2025-08-03,2025-08-03,2025-08-03
aosasona,plunk.gleam,FALSE,2,12,2023-10-08,2025-06-04,2025-06-04,2025-06-04
lpil,zeptomail,FALSE,3,6,2022-06-23,2025-05-27,2025-05-27,2025-05-27
renatillas,eventsourcing,FALSE,4,45,2024-08-04,2025-10-18,2025-10-15,2025-09-09
Pevensie,barnacle,FALSE,5,56,2024-10-19,2025-03-31,2025-03-29,2024-12-18
Pevensie,bath,FALSE,0,14,2024-12-24,2025-06-22,2025-06-22,2025-06-22
grottohub,carpenter,FALSE,3,29,2024-03-29,2024-04-08,2024-04-08,2024-04-08
chouzar,chip,FALSE,3,30,2023-11-01,2024-12-14,2024-12-14,2024-12-12
gleam-lang,erlang,FALSE,51,131,2021-02-09,2025-09-22,2025-08-03,2025-07-06
gleam-lang,otp,FALSE,69,801,2019-05-06,2025-12-13,2025-11-02,2025-10-20
Pevensie,lifeguard,FALSE,1,16,2024-12-30,2025-06-25,2025-06-25,2025-06-22
ckreiling,nessie_cluster,FALSE,2,12,2024-04-15,2025-01-27,2025-01-27,2025-01-27
lpil,process-waiter,FALSE,0,3,2023-12-30,2024-01-02,2024-01-02,2023-12-30
massivefermion,puddle,FALSE,1,5,2023-04-05,2024-12-04,2024-11-12,2023-12-17
maxdeviant,shakespeare,FALSE,2,14,2024-04-11,2024-12-07,2024-12-07,2024-05-12
JonasGruenwald,spectator,FALSE,1,78,2024-10-16,2025-10-22,2025-10-22,2025-10-21
lpil,exception,FALSE,1,11,2023-08-11,2025-07-06,2024-02-17,2024-01-16
gleam-experiments,snag,FALSE,3,74,2021-03-22,2025-11-02,2025-11-02,2025-11-02
richard-viney,file_streams,FALSE,3,51,2024-02-24,2025-10-21,2025-06-03,2025-03-12
lpil,filepath,FALSE,8,32,2023-11-11,2025-04-01,2025-04-01,2025-04-01
bcpeinhardt,simplifile,FALSE,21,122,2023-05-31,2025-11-06,2025-08-20,2025-06-24
mscharley,gleam-commonmark,FALSE,6,31,2024-05-28,2025-12-12,2025-12-12,2025-12-12
lpil,cymbal,FALSE,4,20,2024-02-13,2024-02-13,2024-02-13,2024-02-13
bcpeinhardt,gsv,FALSE,0,0,2025-08-28,2025-08-13,2025-08-13,2025-08-12
richard-viney,iso_8859,TRUE,1,0,2024-01-17,2024-11-13,2024-11-13,2024-05-27
lpil,jot,FALSE,17,53,2023-11-15,2025-11-18,2025-11-18,2025-11-18
lpil,tom,FALSE,9,34,2023-11-12,2025-05-31,2025-05-31,2025-05-31
lpil,xmb,FALSE,0,11,2024-07-14,2025-04-06,2025-03-25,2025-03-25
okkdev,glailglind,FALSE,3,47,2023-10-10,2025-08-04,2025-08-04,2025-07-29
ghivert,grille-pain,FALSE,1,23,2024-05-20,2025-06-16,2025-06-14,2025-06-02
lustre-labs,lustre,FALSE,127,2023,2022-02-11,2025-12-13,2025-12-05,2025-12-04
